title,author,date_of_publication,publisher,price_raw,price_numeric
شرح النظام التجاري,مساعد سعود الرشيدي,23/04/2026,خاص - مساعد سعود الرشيدي,783.75 جنيه,783.75
الأسباب القانونية والقضائية لظاهرة بطء التقاضي,محمد حامد القيسي,23/04/2026,خاص - محمد القيسي,550.00 جنيه,550.0
زراعة الأعضاء عبر الحدود: بين التشريع والإنسانية: دراسة تحليلية بالقانون الدولي الخاص مع قراءات للمشرع المصري والإماراتي وغيرهما,هايدي عيسى حسن,23/04/2026,دار بريق للنشر والتوزيع,"1,375.00 جنيه",1.0
زراعة الأعضاء عبر الحدود: بين التشريع والإنسانية: دراسة تحليلية بالقانون الدولي الخاص مع قراءات للمشرع المصري والإماراتي وغيرهما,هايدي عيسى حسن,23/04/2026,دار بريق للنشر والتوزيع,0,0.0
التسجيل العيني بالسعودية ؛ دراسة شاملة لنظام التسجيل العيني في المملكة,حسين محمد جمعة,22/04/2026,خاص - حسين جمعه,350.00 جنيه,350.0
أنقضاء الخصومة بغير حكم سقوط الخصومة وأنقضاؤها بالتقادم وأعتبارها كان لم تكن وتركه,أحمد ابو الوفا,21/04/2026,دار الوفاء لدنيا الطباعة والنشر,315.00 جنيه,315.0
أصول المحاكمات المدنية,أحمد أبو الوفا,21/04/2026,دار الوفاء لدنيا الطباعة والنشر,735.00 جنيه,735.0
القانون والفكر الإنساني - دراسة مقارنة في ضوء النظرية والتطبيق,إيهاب عمرو,13/04/2026,دار غيداء للنشر والتوزيع,"1,100.00 جنيه",1.0
موسوعة التشريعات الإلكترونية,عبد الله وليد عمر,06/04/2026,دار الخليج للنشر والتوزيع,"1,155.00 جنيه",1.0
الموسوعة القانونية الشرعية - المبادئ، الأحكام، الإجراءات,عبد الله وليد عمر,06/04/2026,دار الخليج للنشر والتوزيع,"1,320.00 جنيه",1.0
